building_id,facade_idx,mat_name,src_image,score,coverage,tex_file
0,0,mat_b0_f0,51.497551_-0.179558_h135_p20.jpg,0.125,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b0_f0.png
0,1,mat_b0_f1,51.496874_-0.179168_h45_p20.jpg,0.2651,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b0_f1.png
0,2,mat_b0_f2,51.496874_-0.179168_h45_p20.jpg,0.2652,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b0_f2.png
0,3,mat_b0_f3,51.496874_-0.179168_h45_p20.jpg,0.2654,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b0_f3.png
0,4,mat_b0_f4,51.496874_-0.179168_h45_p20.jpg,0.1885,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b0_f4.png
0,5,mat_b0_f5,51.496874_-0.179168_h45_p20.jpg,0.2653,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b0_f5.png
0,6,mat_b0_f6,51.496874_-0.179168_h45_p20.jpg,0.188,0.692,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b0_f6.png
0,7,mat_b0_f7,51.497356_-0.178358_h225_p20.jpg,0.1113,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b0_f7.png
1,0,mat_b1_f0,51.496900_-0.178547_h225_p20.jpg,0.3609,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b1_f0.png
1,1,mat_b1_f1,51.496900_-0.178547_h135_p20.jpg,0.3606,0.723,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b1_f1.png
1,2,mat_b1_f2,51.496582_-0.178741_h45_p20.jpg,0.3254,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b1_f2.png
1,3,mat_b1_f3,51.496582_-0.178741_h0_p20.jpg,0.442,0.824,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b1_f3.png
2,0,mat_b2_f0,51.499675_-0.178542_h225_p20.jpg,0.1921,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f0.png
2,1,mat_b2_f1,51.499675_-0.178542_h225_p20.jpg,0.1951,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f1.png
2,2,mat_b2_f2,51.499675_-0.178542_h225_p20.jpg,0.1949,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f2.png
2,3,mat_b2_f3,51.498691_-0.179009_h0_p20.jpg,0.1356,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f3.png
2,4,mat_b2_f4,51.499675_-0.178542_h225_p20.jpg,0.194,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f4.png
2,5,mat_b2_f5,51.499675_-0.178542_h225_p20.jpg,0.1929,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f5.png
2,6,mat_b2_f6,51.498691_-0.179009_h0_p20.jpg,0.1355,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f6.png
2,7,mat_b2_f7,51.499198_-0.179563_h90_p20.jpg,0.203,0.81,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f7.png
2,8,mat_b2_f8,51.499198_-0.179563_h0_p20.jpg,0.1997,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f8.png
2,9,mat_b2_f9,51.499198_-0.179563_h0_p20.jpg,0.2008,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f9.png
2,10,mat_b2_f10,51.499198_-0.179563_h0_p20.jpg,0.1998,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f10.png
2,11,mat_b2_f11,51.499635_-0.179833_h90_p20.jpg,0.1389,0.61,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f11.png
2,12,mat_b2_f12,51.499635_-0.179833_h135_p20.jpg,0.175,0.99,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f12.png
2,13,mat_b2_f13,51.499675_-0.178542_h225_p20.jpg,0.1367,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b2_f13.png
3,0,mat_b3_f0,51.495853_-0.173848_h315_p20.jpg,0.0793,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b3_f0.png
3,2,mat_b3_f2,51.495686_-0.175464_h45_p20.jpg,0.0909,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b3_f2.png
3,3,mat_b3_f3,51.495853_-0.173848_h315_p20.jpg,0.1086,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b3_f3.png
4,0,mat_b4_f0,51.495686_-0.175464_h0_p20.jpg,0.1523,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b4_f0.png
4,1,mat_b4_f1,51.495632_-0.176632_h0_p20.jpg,0.1784,0.723,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b4_f1.png
4,2,mat_b4_f2,51.495632_-0.176632_h0_p20.jpg,0.1781,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b4_f2.png
4,3,mat_b4_f3,51.495842_-0.177037_h45_p20.jpg,0.1849,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b4_f3.png
4,4,mat_b4_f4,51.495632_-0.176632_h0_p20.jpg,0.1779,1.0,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/output/textures/b4_f4.png
